intervalo_dias,percentil,peso_nacer_2000_2500_g,peso_nacer_2500_3000_g,peso_nacer_3000_3500_g,peso_nacer_3500_4000_g,peso_nacer_4000_mas_g,todos_g
0-7,50,150,150,150,150,150,150
0-7,25,*,0,0,0,50,0
0-7,10,*,-150,-150,-250,-250,-150
0-7,5,*,-200,-250,-300,-250,-250
7-14,50,275,250,250,250,275,250
7-14,25,*,150,100,100,100,100
7-14,10,*,0,0,0,50,0
7-14,5,*,-100,-50,-100,-100,-50
14-28,50,600,700,650,700,725,650
14-28,25,*,550,550,500,550,550
14-28,10,*,450,450,400,400,450
14-28,5,*,450,350,350,400,350
