sexo,edad_dias,edad_etiqueta,P3,P15,P50,P85,P97
M,0,nacimiento,2.5,2.9,3.3,3.7,4.4
M,30,1 mes,3.4,3.9,4.5,5.0,5.8
M,61,2 meses,4.3,4.9,5.6,6.3,7.1
M,91,3 meses,5.0,5.7,6.4,7.2,8.0
M,122,4 meses,5.6,6.3,7.0,7.8,8.7
M,152,5 meses,6.0,6.7,7.5,8.3,9.2
M,183,6 meses,6.4,7.1,7.9,8.8,9.8
M,213,7 meses,6.7,7.4,8.3,9.2,10.3
M,244,8 meses,6.9,7.7,8.6,9.6,10.7
M,274,9 meses,7.1,7.9,8.9,9.9,11.0
M,305,10 meses,7.4,8.2,9.2,10.2,11.4
M,335,11 meses,7.6,8.4,9.4,10.5,11.7
M,365,12 meses,7.7,8.6,9.6,10.7,12.0
F,0,nacimiento,2.4,2.8,3.2,3.5,4.2
F,30,1 mes,3.2,3.7,4.2,4.8,5.5
F,61,2 meses,3.9,4.5,5.1,5.7,6.6
F,91,3 meses,4.5,5.1,5.8,6.5,7.4
F,122,4 meses,5.0,5.6,6.4,7.1,8.0
F,152,5 meses,5.4,6.0,6.9,7.6,8.6
F,183,6 meses,5.7,6.3,7.2,7.9,9.0
F,213,7 meses,5.9,6.6,7.5,8.3,9.4
F,244,8 meses,6.1,6.8,7.7,8.6,9.7
F,274,9 meses,6.3,7.0,8.0,8.9,10.0
F,305,10 meses,6.5,7.2,8.2,9.1,10.3
F,335,11 meses,6.7,7.4,8.4,9.3,10.6
F,365,12 meses,6.9,7.7,8.7,9.6,10.9
