sexo,ventana,edad_ini_dias,edad_fin_dias,peso_nacer_min_kg,peso_nacer_max_kg,P3,P15,P50,P85,P97,nota
M,0-7 días,0,7,0,2.5,,,-0.5,2.5,7.0,* casos insuficientes para estimar percentiles inferiores
M,0-7 días,0,7,2.5,3.0,,,-0.3,2.8,7.0,*
M,0-7 días,0,7,3.0,3.5,,,-1.0,2.2,6.5,*
M,0-7 días,0,7,3.5,4.0,,,-2.0,1.5,6.0,*
M,0-7 días,0,7,4.0,4.5,,,-3.0,0.8,5.5,*
M,0-7 días,0,7,4.5,99.9,,,-4.0,0.0,5.0,*
M,7-14 días,7,14,0,2.5,0,8,17,26,34,
M,7-14 días,7,14,2.5,3.0,1,9,18,27,35,
M,7-14 días,7,14,3.0,3.5,0,8,18,28,37,
M,7-14 días,7,14,3.5,4.0,-1,8,18,29,39,
M,7-14 días,7,14,4.0,4.5,-2,7,18,30,41,
M,7-14 días,7,14,4.5,99.9,-3,6,17,30,42,
M,14-28 días,14,28,0,2.5,8,17,27,37,47,
M,14-28 días,14,28,2.5,3.0,9,18,28,38,48,
M,14-28 días,14,28,3.0,3.5,10,19,30,40,50,
M,14-28 días,14,28,3.5,4.0,11,20,30,41,52,
M,14-28 días,14,28,4.0,4.5,12,20,31,42,53,
M,14-28 días,14,28,4.5,99.9,13,21,31,43,54,
M,1-2 meses,28,61,0,99.9,15,23,31,39,47,
M,2-3 meses,61,91,0,99.9,12,19,26,33,40,
M,3-4 meses,91,122,0,99.9,10,17,23,30,36,
M,4-5 meses,122,152,0,99.9,8,15,20,26,32,
M,5-6 meses,152,183,0,99.9,7,12,18,23,29,
M,6-9 meses,183,274,0,99.9,5,9,13,17,21,
M,9-12 meses,274,365,0,99.9,3,6,9,12,16,
F,0-7 días,0,7,0,2.5,,,-1.0,2.0,6.5,*
F,0-7 días,0,7,2.5,3.0,,,-0.8,2.3,6.5,*
F,0-7 días,0,7,3.0,3.5,,,-1.5,1.7,6.0,*
F,0-7 días,0,7,3.5,4.0,,,-2.5,1.0,5.5,*
F,0-7 días,0,7,4.0,4.5,,,-3.5,0.3,5.0,*
F,0-7 días,0,7,4.5,99.9,,,-4.5,-0.5,4.5,*
F,7-14 días,7,14,0,2.5,-1,7,16,25,33,
F,7-14 días,7,14,2.5,3.0,0,8,17,26,34,
F,7-14 días,7,14,3.0,3.5,-1,7,17,27,36,
F,7-14 días,7,14,3.5,4.0,-2,7,17,28,38,
F,7-14 días,7,14,4.0,4.5,-3,6,17,29,40,
F,7-14 días,7,14,4.5,99.9,-4,5,16,29,41,
F,14-28 días,14,28,0,2.5,7,16,26,36,46,
F,14-28 días,14,28,2.5,3.0,8,17,27,37,47,
F,14-28 días,14,28,3.0,3.5,9,18,29,39,49,
F,14-28 días,14,28,3.5,4.0,10,19,29,40,51,
F,14-28 días,14,28,4.0,4.5,11,19,30,41,52,
F,14-28 días,14,28,4.5,99.9,12,20,30,42,53,
F,1-2 meses,28,61,0,99.9,14,22,29,37,44,
F,2-3 meses,61,91,0,99.9,11,18,25,31,38,
F,3-4 meses,91,122,0,99.9,9,15,21,27,33,
F,4-5 meses,122,152,0,99.9,7,13,19,24,30,
F,5-6 meses,152,183,0,99.9,6,11,16,21,26,
F,6-9 meses,183,274,0,99.9,4,8,12,15,19,
F,9-12 meses,274,365,0,99.9,3,5,8,10,14,
